class,n_common,k_eff,mean_unbalanced,mean_balanced,std_unbalanced,std_balanced,topk_overlap,spearman_rho,spearman_p
benign,33,10,0.612152353852763,0.6671946632411534,0.3483749153523488,0.3698159162832776,1.0,0.8419117647058824,8.257395900717942e-10
malignant,16,10,0.7161095078692983,0.712076655282426,0.23677845387629293,0.30441242709968697,0.8,0.8764705882352942,8.439118583861087e-06
