class,n_samples,spearman_rho_COVAS_vs_entropy,spearman_p_COVAS_vs_entropy,spearman_rho_COVAS_vs_margin,spearman_p_COVAS_vs_margin
malignant,64,-0.143040293040293,0.25949794177001095,-0.14536295320433767,0.25176058913277866
benign,102,-0.20362338918072279,0.04010085264655668,-0.20362338918072279,0.04010085264655668
