class,n_common,k_eff,mean_unbalanced,mean_balanced,std_unbalanced,std_balanced,topk_overlap,spearman_rho,spearman_p
benign,33,10,0.6215698368760623,0.6586212315255474,0.3481571999398181,0.3391005635983658,0.8,0.8836898395721925,9.606276433886556e-12
malignant,16,10,0.7250220464217412,0.7406193380985091,0.2671999290361569,0.2951862126229399,0.7,0.8558823529411764,2.3449156927289165e-05
