ID,COVAS
"('France ~ 30-06-2018',)",1.2542310052302035
"('Spain ~ 25-06-2018',)",0.9622112607004997
"('Sweden ~ 03-07-2018',)",0.9562559745185496
"('Croatia ~ 11-07-2018',)",0.9533992174760205
"('Sweden ~ 18-06-2018',)",0.908252322163554
"('Spain ~ 15-06-2018',)",0.773347804971991
"('Uruguay ~ 15-06-2018',)",0.6665999098846398
"('Switzerland ~ 22-06-2018',)",0.6493755349894634
"('Nigeria ~ 22-06-2018',)",0.5765923186254482
"('Belgium ~ 18-06-2018',)",0.5678419213064888
"('France ~ 16-06-2018',)",0.46609887561190366
