ID,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,1st Goal,Own goals
"('Mexico ~ 02-07-2018',)",0.5898084667269325,0.7652841259592952,0.8698664509008893,1.1980860079532256,0.8655863906053757,2.3961263873027763,1.275007108505995,0.5758179165167846,1.587148236744231,1.8774946317766636,0.9541569900607888,0.3412453019968625,2.6816191352674688,0.18775765438999084,0.5424654252169452,0.7271495442429668,0.26837230672451956,0.38595088107137027,0.4760251475143152
"('Switzerland ~ 17-06-2018',)",0.8090985992830189,0.08657915922975941,0.03381637730852518,0.09390741837636994,0.08090706994360063,1.060131077290772,0.8793502666284612,1.3760642861234436,0.12210105817910417,0.13496054219010936,0.2372852844655029,0.7260324581471234,0.504176446412386,0.6428856895748708,0.7470437559018807,0.5949408793787867,0.2643260012992161,0.7059044355666287,0.33567634150062303
"('Panama ~ 18-06-2018',)",0.622447630081083,2.194231202781335,0.5789452682012897,0.43696354809072074,0.31506261150778725,1.4359256162157592,0.9055887026925484,1.6582731946631806,1.4314591421401437,0.13805928936959605,0.11968228432397193,0.8314602120013725,0.7934960772065642,0.6969710913786304,0.8689293879776063,0.6486799330745543,0.2723729252403423,0.22293797965434115,0.4526913732854821
"('Saudi Arabia ~ 20-06-2018',)",1.2779054117108917,0.783879520989093,0.9013873483821332,0.7050675859205456,0.35588127780135176,0.11029362585999612,0.050771962800837935,0.22043345927389388,0.25328018093140164,0.07256068010065485,0.8838865596780469,2.061697834035313,0.676148724230189,0.27990436425071696,1.4785021232087208,0.0016683275636639712,0.2669145518651872,0.6007023987117934,0.1381665925298052
"('Colombia ~ 19-06-2018',)",0.9625390855659168,0.28432321992517284,1.166161294567874,0.936087241327279,1.0925354165304009,0.5114702271364797,0.37304195511264293,0.1285525156006499,0.0517806832598904,0.5037971212774719,0.00244898018136665,0.8351574179616504,0.7707621754755603,0.09320707953772377,0.1225365753549764,2.223078455912778,3.7416249398347756,0.30513564745219673,0.29135531537447457
"('Denmark ~ 26-06-2018',)",0.7856934372666348,0.4554449725116385,1.4161088366677055,0.9412029448790026,1.2299826785715997,0.5386613439422623,0.02086266355169019,0.48516967727676746,0.45597601916756253,0.0177926482764534,2.832585811009067,0.7314057217653198,0.6491468514925086,1.3818170888945283,0.5103376474856172,0.06943519436789798,0.25946982569697363,0.23357756328958887,0.06025246259990435
"('Egypt ~ 19-06-2018',)",1.000424232640127,1.1253809984614744,0.6430160252761236,0.4483943460146783,2.295050431627468,0.822127418434935,0.2970316428118726,0.979420926481631,0.007819599888561396,1.7218685303493866,0.18570296545252418,0.332670467778733,0.3771811009268369,1.665599901872789,0.4930575641961209,0.6756785393711633,0.26665170032274227,0.051829272704117725,3.4005436894536407
"('Morocco ~ 20-06-2018',)",0.4574906996412152,1.0556409626465812,1.6005806624312267,1.478930761334357,1.4328795173818427,0.22745414490150165,1.3770759117233409,0.8367908103436562,2.3674751226342434,0.4167230453783593,0.6852563501739367,0.8772434934589973,0.8552864929751647,2.8989237617466967,0.22823222008079677,0.37423845947076323,0.2763170726395226,0.23634747636433828,1.2487113036013426
"('Australia ~ 21-06-2018',)",0.8430190319607903,0.7314400590138569,1.3299106093858408,2.1594548604361408,0.3991074197555364,0.7416056205942203,0.3774500960367984,1.028129195300188,1.054953106512875,0.21484663697241285,1.4056597298408857,0.6935260155769944,0.8167917744248029,0.33530337249207165,1.3004390815133084,1.6147637053874673,0.2639820641913654,0.4833484260598932,0.48459210148129833
"('Tunisia ~ 18-06-2018',)",0.7509376982528663,1.1415261672693446,1.1929765146068454,1.1528847840863767,1.6008561148881277,0.2397245864041764,0.4865523138518261,0.24330762446791446,0.03955565561268576,2.2347071477668976,0.1202176590616978,2.2706270115972553,0.12838753951406218,0.29219458985685237,1.2821736083125101,1.8765329663196728,0.2633421892093655,1.4028050962845826,0.11825190432747584
