ID,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,1st Goal,Own goals
"('Belgium ~ 02-07-2018',)",1.016922276856357,0.46013096062026676,2.4634398735512755,0.9027086466383838,1.0988279804927312,1.187709287882567,0.5406980748141137,0.49696769309653044,1.4997142451547212,0.04424797697927399,1.0299306549305345,0.5909237426743026,0.19030983783007296,0.5776905130324711,0.36990177921482176,1.8414054031280906,0.09403198849842893,0.5711607509221511,0.4312512750244323
"('England ~ 03-07-2018',)",1.3241770535215658,0.06868860778856183,0.26093100083796317,1.5305081554008142,1.3883374629419356,0.1977510807428316,1.0752542860363405,0.19011162875782384,0.5990478906660415,0.5151844047055323,0.01705934749064422,1.7715193416814354,2.643212274407827,0.1555839142047033,0.30379767864849516,0.5589461971271167,0.3475707282876584,0.14307544122944407,0.9392442454591056
"('Croatia ~ 11-07-2018',)",0.07627781485803567,0.19302582483385408,0.31790628807594806,0.7816361876158806,1.6838914105142893,0.31329283137070246,0.1887160407066392,0.3516880714358567,0.20290225525441047,2.083044333818688,0.6478552677582784,0.7532240518312059,0.05011836833957118,0.4911619175664368,0.3698680071824482,0.1953027766887893,1.194419254702825,0.12372478662691981,0.8179573138757714
"('Switzerland ~ 22-06-2018',)",0.0073908112946318725,1.0129807031612608,0.9053193220010464,0.1255847063134285,0.9443277496493238,0.9000667018871529,0.7125291608546281,1.9105267071247214,0.1258424435814058,0.5511143381134092,1.0207732042934088,0.7938018645114291,0.7120095098117226,0.7298637675412684,0.31601272875304254,0.978826855007385,0.6185205699383547,0.9009941197192496,0.30625948842670353
"('Japan ~ 19-06-2018',)",0.29742024366905795,1.9027701017855212,0.628924926260829,0.44419986165111136,0.8896101281957749,0.9859936947288872,0.2698165598642784,0.22036257108829652,0.30690221492208875,0.6219548864189784,0.2048294415170032,0.1319046912297469,0.9808925024469639,0.46769457838811573,0.10175187818797508,0.07196900610365697,0.6149505058711785,1.530219329451792,0.22052222502998547
"('Brazil ~ 02-07-2018',)",0.14374428765755123,0.22571384069531975,0.7162053514707266,2.227207211298925,0.3737132829006058,0.2140704221302697,0.9310299067577443,0.9136284638269653,1.340916386769506,0.5613525990958728,0.2660375229289077,0.4435264825750815,1.39482215872966,0.9537544146673257,0.05515849394880875,1.0669758648160732,1.1536535034578372,1.0680099115214121,0.30408397188309433
"('Russia ~ 19-06-2018',)",1.2160688335901224,0.13836143798007747,1.0270248043908852,0.8079144314557343,0.9279002885097851,1.3183577473927983,0.07979852139540156,1.249955065896491,1.3863107997989614,0.9722582335343526,0.6816580219735618,0.04041031892263256,0.11514239807345375,0.7548906693384877,1.4542229794948545,0.3844657035906323,1.7650913590401074,1.2028786617227563,0.5597380294429787
"('Belgium ~ 14-07-2018',)",0.26843562082049227,0.9635008512408235,0.9940899858570301,0.5422242720771839,0.5487561848064665,0.5320018719242332,0.7660800255040249,0.25393759838292645,0.948557441751341,0.4911597664738076,1.2415030769669557,0.22938017108378295,0.05420644962204223,0.26228678200127936,0.9518063374666662,1.4615813336746322,1.4525781988941229,1.9144740654245815,2.0058401265095944
"('Croatia ~ 21-06-2018',)",1.5889086080544654,2.161675716679284,0.3357568275126145,0.040808713035875584,0.4613484512834431,0.000751026372713839,2.5166435256668254,2.0474166840039327,0.4110833711923602,0.02614450437102989,0.6189365506393475,0.3897532909390238,0.3296782590474874,0.5417908198237733,2.5558070301784706,1.4953153513341384,0.7543360946310709,0.8939175758663241,1.5630897977338394
"('Sweden ~ 03-07-2018',)",1.4174878186290665,0.6236485284698227,0.902227241435407,0.962806150483268,0.955846719031214,1.6662630283786766,0.9678868056782499,0.22535667357909758,0.819575655262754,0.43475027850355635,2.381775590950157,2.2405511005335788,0.06437600398759749,2.084589800534325,0.9822697190971088,0.7693965673650007,1.153354181168419,0.4151489590128079,0.8979652814807343
"('Sweden ~ 18-06-2018',)",1.4186777970296456,0.1985813009157088,0.25391604880426777,0.42752290450974806,0.9582095488709902,1.6811998079372634,0.4527678064199543,0.43615888258031377,1.6674635795819654,2.002914497789489,0.550092183193891,0.9352650817056114,0.6565322184819887,1.8606542555243706,0.055804998374210116,0.21206159352912998,0.47674652728746864,0.5103184380063481,1.2006680609785567
